,jobs,time_publication,description,Company,Location
0,"Data Engineer - QuantumBlack, AI by McKinsey", 30+ jours,"Who You'll Work With
You will be based in our Casablanca, Morocco or Johannesburg, South Africa office as part of our QuantumBlack, AI by McKinsey team, partnering with consultants, clients and other colleagues.
Our QuantumBlack, AI by McKinsey teams bring the latest analytical techniques plus a deep understanding of industry dynamics and corporate functions to help clients create the most value from data.
What You'll Do
You will apply your passion for finding opportunities in data by using established tools and techniques or by innovating/building new ones.
In this role, you will collaborate with highly talented business consultants and data-scientists to design and drive architecture and implementation planning for our clients and act as a big data evangelist, educating McKinsey's and client's teams on data engineering topics. You will actively cooperate with data scientists and digital consultants to incorporate clients’ requirements and impactful analysis into our data products. You will also be an expert in data engineering and advise relevant people at the firm on technical aspects of analytics engagements.
You will shape the future of what data-driven organizations look like, drive processes for extracting and using that data in creative ways, and create new lines of thinking within an infinite number of clients and situations.
You will do meaningful work that makes a real difference with our clients. This is a hybrid client-facing, technical role using state-of-the-art technologies, whilst also being able to communicate complex intractable ideas to non-technical audiences.
#LI-MP
Qualifications
Bachelor's degree in computer science, engineering, mathematics or another relevant subject
2+ years of experience in big data related software development, data modeling, design patterns and building highly scalable and secured solutions
Background in development with practical experience with at least one general purpose programming language (Python, R, C, Java, Scala, etc.)
Familiar with big data platforms (SQL, Teradata, Hadoop, Spark); experience preparing data for analytics and following a data science workflow
Advanced knowledge of data structures and algorithms, networking, operating systems, standard Unix/Linux OS, version control and DevSecOps tool chains, etc.
Ability to work with a myriad of data types (structured and unstructured), extracting information from modern and legacy data platforms and identify and perform linkages across disparate data sets
Experience in extracting and loading data from multiple database technologies like RDBMS (MS SQL Server, Oracle, MySQL, PostgreSQL), MPP (AWS Redshift, Teradata, Snowflake) and optionally NoSQL (MongoDB, DynamoDB, Cassandra, Neo4J, Titan)
Experience and interest in Cloud platforms such as AWS, Azure, GCP
Commercial client-facing project experience is helpful
Proven record of leadership in a work setting and/or through extracurricular activities
Ability to work collaboratively in a team environment with people at all levels in an organization
Ability to communicate complex ideas effectively, both verbally and in writing, in English; fluency in local office language(s) is a plus",McKinsey & Company,Casablanca
1,"Data Engineer Intern (remote – healthcare), Rabat", 12 jours,"Our client is an international innovative start-up in both the healthcare and human resources fields. They have great expansion plans and they are now looking to recruit various interns who could become full-time remote employees if they show high interest, quality of work and outputs during their internship.
WHAT YOU MIGHT LIKE ABOUT THIS OPPORTUNITY:
> Focussed on the healthcare and medical sectors. So if you have an interest in this, you will delve into specific fields in these areas and learn a lot about it.
> This is a full-time internship, but there will be 2 hours each day dedicated to training
> Fully remote work, you can be based anywhere!
> Work with high-calibre small international teams in Data Engineering and Marketing
> Practice your English on a daily basis
> Learn a lot from our senior Data Engineers
> Possibly to get a job offer at the end of the internship
WORK CONDITION:
> Working times: Monday to Friday, 8 hours per day
> Location: Fully remote (you can be based anywhere)
> Duration: 6 month
> Stipend Pay: $100 to $250 USD per month
ROLES DESCRIPTION
Your role will be focussing on Data Engineering projects (this is not a Data Science internship!). So you will need to really like the engineering aspect of datamining which are different from data analysis, AI, etc.
Your responsibilities will include:
> Supporting the Data Engineers in creating Data pipelines from various sources (Web, CSV, etc)
> Coming up with optimal methods to clean Datasets (via Python or Excel functions)
> Learn from the Snr Data Engineer how to apply data processing rules to obtain homogeneous data formats.
> Apply control at each stage of the work
> Learning to use the following tech stack: Internal company scraper, Python, MySQL, RDS (Amazon), ETL Platforms, various automation tools.
> This internship will also include later other dimensions such as Data Science and NLP, but this won’t be at the start.
REQUIREMENTS:
Available on a full-time basis
Very good knowledge of Python
Very good knowledge of SQL
To Apply please send your CV to info@eliterecruitmentgroup.com mentioning the job reference DATENG-C15
Job Features
Job Category
Other",Elite Recruitment Group,Rabat
2,Consultant Data Engineer, 16 jours,"La révolution numérique change tout. Elle transforme notre façon de travailler et d’interagir. Admiral Digital Consulting aide ses clients à obtenir des performances élevées grâce aux informations tirées de leurs données, qui permettent de prendre de meilleures décisions et de renforcer les relations clients de la stratégie à l’exécution.
Admiral collabore avec les organisations pour développer des fonctionnalités analytiques - allant de l’accès aux données à la modélisation prédictive, en passant par la génération de rapports, et pour la modélisation prédictive - afin de surperformer la concurrence.
Vous rejoindrez une équipe dynamique et enthousiaste, expérimentée dans les principaux outils, méthodes et applications de data Engineering afin d'aider nos clients grands comptes à améliorer leurs résultats et performances.
Qualification :
· De formation Bac+5 en Ingénierie Informatique,
· vous justifiez d'une première expérience d'une année minimum sur un poste similaire.
· Connaissance pratique Tableau, Qlik, Power BI, D3 avec HTML5, Java / Javascript, Python/R, Rest API, Angular,…
· Capacités exceptionnelles d'analyse, de conception et de résolution de problèmes
· Les certifications sont un plus
Rôle :
· Collecte et définition des besoins métier pour établir les spécifications fonctionnelles et rédiger le cahier des charges,
· Conception et développement de l’ensemble des processus de traitement et d’intégration des données,
· Modélisation et enrichissement des datawarehouse et datamarts dédiés à une fonction particulière dans l’entreprise,
· Développement des tableaux de bord,
· Qualification unitaire et recette des réalisations conformément aux exigences convenues,
· Contrôle des mises en production et des correctifs,
· Audit des réalisations conçues,
· Détection et diagnostique des incidents et suivi avec les équipes business & technique.
Compétences clés :
· Excellentes compétences analytiques
· Capacité à travailler avec de grandes quantités d’informations et à avoir une vue d'ensemble
· A l'aise avec des faits, des chiffres et des calculs difficiles
· Aptitudes à la communication écrite et orale
· Attention au détail
· Être capable de créer des pipelines de données fiables
· Maîtriser parfaitement SQL, le langage des bases de données
· Combiner les sources de données
· Connaître les techniques de modélisation des données
· Avoir une solide compréhension de l’ETL
· Disposer de solides compétences en développement informatique et savoir coder proprement
· Maîtriser les outils du big data comme Hadoop
Merci de nous communiquer votre CV actualisé à l'adresse mentionnée en mettant dans l’objet du mail la réf DEN
Type d'emploi : Temps plein, CDI, Stage
Salaire : à partir de 11,00DH par mois",Admiral Digital,Casablanca
3,Consultant Data Engineer, 30+ jours,"Postuler
La révolution numérique change tout. Elle transforme notre façon de travailler et d’interagir. Admiral Digital Consulting aide ses clients à obtenir des performances élevées grâce aux informations tirées de leurs données, qui permettent de prendre de meilleures décisions et de renforcer les relations clients de la stratégie à l’exécution.
Admiral collabore avec les organisations pour développer des fonctionnalités analytiques - allant de l’accès aux données à la modélisation prédictive, en passant par la génération de rapports, et pour la modélisation prédictive - afin de surperformer la concurrence.
Vous rejoindrez une équipe dynamique et enthousiaste, expérimentée dans les principaux outils, méthodes et applications de data Engineering afin d'aider nos clients grands comptes à améliorer leurs résultats et performances.
Qualification:
De formation Bac+5 en Ingénierie Informatique,
vous justifiez d'une première expérience de 2 année minimum sur un poste similaire.
Connaissance pratique Tableau, Qlik, Power BI, D3 avec HTML5, Java / Javascript, Python/R, Rest API, Angular,…
Capacités exceptionnelles d'analyse, de conception et de résolution de problèmes
Les certifications sont un plus
Rôle:
Collecte et définition des besoins métier pour établir les spécifications fonctionnelles et rédiger le cahier des charges,
Conception et développement de l’ensemble des processus de traitement et d’intégration des données,
Modélisation et enrichissement des datawarehouse et datamarts dédiés à une fonction particulière dans l’entreprise,
Développement des tableaux de bord,
Qualification unitaire et recette des réalisations conformément aux exigences convenues,
Contrôle des mises en production et des correctifs,
Audit des réalisations conçues,
Détection et diagnostique des incidents et suivi avec les équipes business & technique.
Compétences clés:
Excellentes compétences analytiques
Capacité à travailler avec de grandes quantités d’informations et à avoir une vue d'ensemble
A l'aise avec des faits, des chiffres et des calculs difficiles
Aptitudes à la communication écrite et orale
Attention au détail
Être capable de créer des pipelines de données fiables
Maîtriser parfaitement SQL, le langage des bases de données
Combiner les sources de données
Connaître les techniques de modélisation des données
Avoir une solide compréhension de l’ETL
Disposer de solides compétences en développement informatique et savoir coder proprement
Maîtriser les outils du big data comme Hadoop
Merci de nous communiquer votre CV actualisé à recrut@admiral.ma en mentionnant dans l’objet du mail la réf DEN
Postuler",Admiral,Casablanca
4,Developer/Software Engineer Intern, 9 jours,"TrouveTaVoie's Dev team members are the champions of usability. We know that without good interfaces and strong backbone, even the best technologies can be useless. That is why our philosophy is to delight our users and enhance their productivity with innovative and scalable solutions.
TrouveTaVoie develops artificial intelligence algorithms and harnesses new technologies to help guide individuals, training centers, public & private companies make informed decisions whether they are related to career guidance, training programs, public policy or human capital management.
As a part of the dev team, you will be working closely with design, research, and engineering team members; advising and collaborating to create industry leading solutions involving innovating blockchain technologies which will give opportunity for learning state-of-the-art techniques in this fast-growing field.
Responsibilities:
● Build software for the various teams, this could include server-side components or user – interfaces.
● Depending on the project, you may code in NodeJS, ReactJS, JavaScript, Objective-C, Java or C++.
● Design, run and evaluate experimental results for the features you build.
● Collaborate with other engineers, product managers, designers, data scientists and user researchers to build and improve products.
● Document and conduct planning, technical and bug reviews of design code and of evaluation plans / test results.
●
Preferred Qualifications:
● Software / Computer Science / Mathematics / Engineering student or graduate, proficient in programming.
● Interest and experience in web programming, architectures Cloud, Blockchain, DevOps, etc.
● Ability to program in some mainstream web programming language such as NodeJS, ReactJS.
● Ability to speak and write in English fluently and idiomatically, French is a bonus.
● Intellectual curiosity with a strong desire to learn and grow.
● Proven leadership and excellence in professional, academic and/or extracurricular experiences.
● Strong problem-solving abilities.
● Strong organizational and interpersonal skills and ability to successfully manage tasks as well as excellent verbal, written and oral communication skills.
At TrouveTaVoie, we celebrate diversity of thought, experience, and perspective. We are committed to conduct a transparent hiring process. All qualified applicants will be considered for employment regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or veteran status.
Job Type: Internship
Contract length: 6 months",TrouveTaVoie,Casablanca
5,Data engineer, 19 jours,"Casablanca
Publiée le: 22 Jan-0:26
Annonce N°: 9368570
Nos 3 besoins actuels sont :

Cherchons un consultant pour une mission en full remote :
Un Data Engineer h/f
SQL, Linux, spark, java, Kafka, Hadoop
Poste en full remote

Business Analyst Lotus Notes h/f
Projet : transfert d'au moins 4 applications Lotus Notes vers des technologies plus récentes.
Poste basé à Orly


- PMO Digital solutions - Delivery & Operations h/f
Rédactions méthodologies, processus
Cadrage et pilotage projet
Domaine : Informatique / Multimédia / Internet
Fonction : Informatique - Développement
Contrat : A discuter
Entreprise : Comexim
Salaire : A discuter
Niveau d'études : Bac plus 4
Annonceur :
Hicham",,Casablanca
6,Software Integration Engineer, 30 jours,"Did you know that EDICOM is one of the world’s major EDI and e-invoicing businesses? Our solutions connect companies and large multinationals located on five continents and integrate their management systems.
EDICOM helps digitalize companies through the development of SaaS solutions (Software as a Service), automating and integrating data interchange (EDI), so eliminating manual insertion errors and unnecessary use of paper worldwide. The company has subsidiaries in New York, Milan, Paris, Valencia, Seville, Murcia, Mexico City, Bogota, Buenos Aires, Sao Paulo and Casablanca.
Our international operations have a strong presence in Europe and we are expanding eastward from our head office in Casablanca, Valencia, Murcia, and Sevilla. To this end, we are looking to expand our integration department with the incorporation of Software Integrators and so take our SaaS integration projects to a new level.
Your role:
Your main challenge will be achieving full integration of SaaS EDI solutions for electronic billing and tax compliance (VAT Compliance, e-Reporting, etc.).
Placing our technical consulting service at the centre, you will be involved in all phases of the integration project: everything ranging from assessment of tasks received through Project Management and coordinated by Team Management, discussion of these tasks in the Daily Scrum, execution of planned tasks, training and customer support.
How to overcome the challenge?
Your first step in EDICOM will consist of taking part in an approximately six-week full-time specialization course, in which we will teach you all about SaaS EDI, e-invoicing and tax compliance.
Once you have the sprint delimited and you have your tasks defined, assessed and assigned in your backlog, you will be able to manage your time to achieve the scheduled targets.
Your tasks will include automation of ERP format conversions (IDOC, .CSV, XML, JSON, etc.) from the sender to other standard formats (EDIFACT, ODETTE, X12, VDA, PEPPOL, XML UBL) for integration with the ERP format of the recipient. To do so:
As the need arises and with some experience, you will be able to make customized developments (reports), analyse the clients’ needs and take care of their development. You will also take note and transfer the requirements for new screens to the R&D (Research and Development) area to develop these new functionalities.
You will parameterize the SaaS EDI for the client so that it is perfectly suitable for the project.
You will be setting the parameters for the various secure communication protocols (API, AS2, Web Service, RESTFul, Java Adapter, SFTP, OFTP2, etc.) for sending information between companies. Carrying out communications tests.
Depending on each project and as per client requirements, you will be programming in JavaScript to suit the integration model needed by the customer.
Through time, you will be giving advice and generating integration proposals adapted to the client’s format. You will be the one who decides what to do and when within the Sprint.
You will program the transformation between the different data formats between the client’s ERP and the target’s standard ERP.
You will be in charge of the testing phase (functional trials) before rollout.
You will train the client and provide them with technical support.
You will run the go live and stabilisation phase.
We will accompany you with recurrent and continuous tutorials, every three months throughout the first year, so that you feel guided.
What we are looking for in you:
Degree in Computer Engineering, Telecommunications, Geodesy, Mathematics or Physics with IT and programming skills. Senior Technician in Multiplatform Applications Development and Senior Technician in Web Application Development will also be considered.
Prior experience in the required technologies and the responsibilities defined appreciated, as well as recent graduates or final year students seeking stability and a professional career.
Person with great working capacity and disciplined. Good communicator, decisive and approachable.
Good level of English (minimum B2). We also value Italian, Portuguese, French, Turkish, Arabic, Dutch, German or Polish.
Academic records and/or possible professional experiences will be appreciated.
What we offer:
You will be part of top-level international technical teams and participate in projects all over the world where you will have the opportunity to make your foreign languages a fundamental tool in your day-to-day work.
You will take part in international projects where you will be able to take your profile as a technical consultant to an international level.
From the outset, you will be able to propose and innovate in all phases of the implementation project, thanks to agile methodologies and the efficient communication between departments and teams that we enjoy at EDICOM.
You will have productivity KPIs that will gauge your value and project your professional career.
You will have within your reach a clearly defined professional career from which you will be able to access positions such as Project Manager, Team Manager, Technical Key Account Manager, etc.
You will have the confidence and stability to worry about nothing but your career with the company. Indefinite contract.
Salary reviews every six months during the first two years in line with your performance, growth, attitude, commitment, language and personal skills and quality of work. Subsequent reviews on an annual basis.
With your indefinite contract, from the word go you will have access to company benefits (medical insurance, language training…).
If you are attracted by the challenge and believe you can take our sales strategy forward to another level, sign up for the vacancy and join EDICOM.
Job Types: Full-time, Permanent
Salary: 10,000.00DH - 15,000.00DH per month
Ability to commute/relocate:
Casablanca: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
What kind of salary (gross monthly) do you expect to earn?
Education:
Bachelor's (Required)
Language:
fluent English (Required)
fluent French (Required)
Spanish (Preferred)",EDICOM,Casablanca
7,Data Engineer - GAMMA, 30+ jours,"WHAT YOU'LL DO

As a part of BCG’s GAMMA team you will work closely with consulting teams on a diverse range of advanced analytics topics. You will have the opportunity to leverage analytical methodologies to deliver value to BCG's Consulting (case) teams and Practice Areas (domain) through providing analytics subject matter expertise, and accelerated execution support. You will collaborate with case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs. You will provide technical support through deeper understanding of relevant data analytics solutions and processes to build high quality and efficient analytic solutions

YOU'RE GOOD AT

Working with case (and proposal) teams:
Acquiring deep expertise in at least one analytics topic & understanding of all analytics capabilities
Defining and explaining expected analytics outcome; defining approach selection
Delivering original analysis and insights to case teams, typically owning all or part of an analytics module and integrating with case teams
Establishing credibility by thought partnering with case teams on analytics topics; drawing conclusions on a range of external and internal issues related to their module
Communicating analytical insights through sophisticated synthesis and packaging of results (including PPT slides and charts) with consultants, collects, synthesizes, analyses case team learning & inputs into new best practices and methodologies
Assuring proper sign‐off before uploading materials into internal repository for reference; sanitizing confidential client content in marketing documents
Able to generate project work for self via connect

Team Requirements:
Guides juniors on analytical methodologies and platforms, and helps in quality checks
Contributes to team’s content & IP development
Imparts technical trainings to team members and consulting cohort

Technical Skills:
Proficient understanding of distributed computing principles
Management of Spark clusters, with all included services – various implementations of Spark preferred
Ability to solve ongoing issues with operating the cluster and optimize for efficiency
Understanding of prevalent cloud ecosystems and its associated services AWS, Azure, Google Cloud, IBM Cloud. Expertise in at least one.
Experience with building stream-processing systems, using solutions such as Storm or Spark-Streaming
Good knowledge of Big Data querying tools, such as Pig, Hive, and Impala
Experience with integration of data from multiple data sources
Experience with NoSQL databases, such as HBase, Cassandra, MongoDB
Knowledge of various ETL techniques and frameworks, such as Flume
Experience with various messaging systems, such as Kafka or RabbitMQ
Experience with Big Data ML toolkits, such as Mahout, SparkML, or H2O
Good understanding of Lambda Architecture, along with its advantages and drawbacks

Good to have:
Functional Skills
Selecting and integrating any Big Data tools and frameworks required to provide requested capabilities
Implementing ETL process(s) across on-premise and cloud architectures
Monitoring performance and advising any necessary infrastructure changes

Communicating with confidence and ease

You will be a clear and confident communicator, able to deliver messages in a concise manner with strong and effective written and verbal communication.

Analytical Thinking

You should be strong in analytical solutioning with hands on experience in advanced analytics delivery, through the entire life cycle of analytics. Strong analytics skills with the ability to develop and codify knowledge and provide analytical advice where required.

YOU BRING (EXPERIENCE & QUALIFICATIONS)

Bachelor's / Master's degree in computer science engineering/technology
At least 4-6 years within relevant domain of Data Engineering across industries and work experience providing analytics solutions in a commercial setting
Consulting experience will be considered a plus

YOU'LL WORK WITH

Our data analytics and artifical intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative solutions that help our clients tackle their most pressing issues. We design algorithms and build complex models out of large amounts of data.",Boston Consulting Group,Casablanca
8,Data Engineer (based in Morocco), 13 jours,"Company Description

We are Netcompany-Intrasoft, a leading European IT Solutions and Services Group with strong international presence and expertise, offering innovative and added-value solutions of the highest quality to a wide range of international and national public and private organizations. More than 500 organizations in over 70 countries worldwide have chosen the company's services and solutions to fulfill their business needs.
For more information regarding our company, current projects, and openings around Europe, please consult our website: www.netcompany-intrasoft.com.

Job Description

We are looking for a Data Engineer based in Morocco
A day in the life of a Data Engineer
You will be member of Netcompany-Intrasoft's Data Analytics Competence Center.
You will be part of an international team of data engineers & data scientists implementing a state-of-the-art Big Data projects, that involve the deployment of massively parallel data store and processing engines, the ingestion and analysis of multiple petabytes of data, and the implementation of Artificial Intelligence algorithms that will provide actionable intelligence to the customer.
Your main duties will be:
Creating batch and streaming analytics implementations for very large data sets by utilizing distributed technologies
Optimizing ingestion and query performance on distributed data stores and SQL engines
Implementing data extraction, enrichment, processing, and load workflows.
Performing preliminary statistical analysis, training and implementation of inference engines based on formal modeling
By joining Netcompany - Intrasoft you will work using cutting-edge technologies that contribute to the design and delivery of solutions and products for challenging, large-scale IT projects, that affect the lives of millions of citizens around the globe.

Qualifications

If you have
Solid experience as a Data Engineer
Degree in Computer Science, Technology, Engineering, Math or equivalent
Advanced experience with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases (including noSQL).
Experience in building and optimizing ‘big data’ data pipelines, architectures and data sets. As well as in the development of Data Ingestion Pipelines and Data Analysis Applications
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
A successful history of manipulating, processing and extracting value from large and disconnected datasets.
Experience supporting and working with cross-functional teams in a dynamic environment.
…then this position is suitable for you!
It would also be a plus if you had one or more of the below
Experience with big data tools: Flume, nifi, Hadoop, Spark, Kafka, etc.
Experience with SQL and NoSQL databases (such as MongoDB, ElasticSearch, HDFS, Kudu, HBase, Impala, Hive etc)
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
This position comes with
Competitive compensation packages
Continuous learning (with the most modern methods - unlimited access to Udemy for Business), and fast career growth
Interesting and challenging tasks within large-scale projects
An international dynamic within a fast-paced working environment
The opportunity to work in a diverse environment with talented colleagues

Additional Information

We ensure equal opportunities, treatment, and consideration to all candidates. Discrimination based on sex, racial or ethnic origin, religion or belief, disability, age, sexual orientation or marital status, physical or mental disability, or any other factor protected by applicable laws and regulations is prohibited. At Netcompany-Intrasoft we respect human rights as part of our culture, and we focus on creating a positive workplace in which all employees are valued and where diversity and inclusivity are welcomed.
The safety and well-being of our employees remain our top priority. Please note that Netcompany-Intrasoft’s recruitment process is being conducted virtually due to preventive measures against the Covid-19 pandemic.
#LI-Remote #LI-TM1
Our culture
Our people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://bit.ly/3SSbBzU
#BePartOfSomethingGreat!
Please submit your CV in English
All applications will be treated as strictly confidential.",Netcompany-Intrasoft,Maroc
9,VIE - TRAMWAY MAINTENANCE ENGINEER, 30+ jours,"Rejoignez un Groupe international fortement ancré dans les territoires
En tant qu’opérateur et intégrateur global de mobilités, Transdev permet à chacun de se déplacer chaque jour grâce à des solutions sûres, efficaces et innovantes au service du bien commun. Transdev transporte en moyenne 11 millions de passagers au quotidien grâce à ses différents modes de transport efficaces et respectueux de l’environnement, qui connectent les individus et les communautés. Transdev conseille et accompagne, dans une collaboration durable, les collectivités territoriales et les entreprises : ce sont 81 715 femmes et hommes au service de ses clients et passagers. Transdev est codétenu par la Caisse des Dépôts à 66% et par le Groupe Rethmann à 34%. En 2021, présent dans 18 pays, le Groupe a réalisé un chiffre d’affaires de 7 milliards d’euros.
Pour plus d’informations : www.transdev.com
Join an international Group with strong local roots
As an operator and global integrator of mobility, Transdev – The mobility company – empowers freedom to move every day thanks to safe, reliable and innovative solutions that serve the common good. We are proud to provide 11 million passenger trips on average every day thanks to efficient, easy to use and environmentally-friendly transportation services that connect people and communities. Our approach is rooted in long-term partnerships with businesses and public authorities, and in the relentless pursuit of the safest and most innovative mobility solutions. We are a team of people serving people, and mobility is what we do. Transdev is jointly held by Caisse des Dépôts Group (66%) and the Rethmann Group (34%). In 2021, with 81,715 employees in 18 countries, the Group generated total revenues of €7 billion.
For more information: www.transdev.com



You are 18 to 28 years old, EU citizen, with the personal project to kick start your career with an international assignment in a growing organization leader on its segments?
Transdev Group, headquartered in France, is looking for a TRAMWAY MAINTENANCE ENGINEER to be based in Morocco
Job environment/ related project
At Transdev, we are proud to make 11 million people travel everyday around the world to efficient, simple and eco-friendly transport services that serve the territories.
Because we operate a wide range of transportation modes (Metro, Commuter Trains, LRT/ Tramways, Bus Rapid Transit, Buses, Coaches, ferries, etc.) and as we are established in 17 countries across five continents, everywhere we are, we aspire to promote the initiative of our multicultural teams.
Joining Transdev means joining men and women who serve others and work in a meaningful industry: mobility.
The flagship mobility project of the Rabat-Salé Tramway, launched by His Majesty King Mohammed VI, in 2007, is part of a greater vision of the country’s capital, giving pride of place to sustainable public projects that meet the expectations of citizens.
With the opening of the new sections in February 2022, the tramway network is extended by 7 km and 12 additional stations. In whole the Rabat-Salé light rail network will now total 27 km and 43 stations, with 66 tramways. It will carry an additional 40,000 passengers per day, bringing the total number of trips on the network to 150,000 per day.
Transdev has been proudly operating the Rabat Salé light rail network since its commissioning preparation phase in 2010 and it reflects the Group’s commitment to serve the common good and the communities we serve. Transdev’s operation in Rabat Salé ensures over 300 local jobs for the operation and maintenance of the network making the group a key local employer and community partner.
Destination/ Roadmap
Within the technical department, the tramway maintenance engineer is reporting to the Methods & Engineering Manager. And the mission will consist in capitalizing maintenance engineering, processes, data and supporting Asset Management approach of the entity.
Missions
Capitalize maintenance standards and operating modes (in particularly major overhaul for Alstom Citadis Tramway)
Contribute to the Asset Management approach of the entity (ISO 55001 certification)
Capitalize the Asset Maintenance Approach in order to spread it within different Centers of Expertise
Share and spread the standards and operating modes to the Maintenance Tramway Center of Expertise
Required Education and Experience
Master’s degree or engineering diploma
Minimum 2 years’ experience in operational maintenance positions (Rolling Stock), ideally within a Tramway Network or Manufacturer
Skills
Self-discipline, agile and pedagogue
Good level of project management skills
Demonstrated ability to work collaboratively with project stakeholders
Good knowledge of ISO9001, Asset Management and ISO 55001, Maintenance norms
High level conceptual, analytical, problem solving skills
Good level of oral and written communication and presentation skills in French and in English, the Arabic would be a strong plus
Good listener with high level of interpersonal and social skills.
Location
The position would be based in Salé Morocco",Transdev,Salé
